code,display,definition,system,category,subcategory,who_terminology_code,icd11_tm2_code,icd11_biomedicine_code
NAM001,Vata Dosha Imbalance,Imbalance in Vata dosha affecting body functions,Ayurveda,Dosha Imbalance,Vata Disorders,WHO001,TM2-001,A00-B99
NAM002,Pitta Dosha Imbalance,Imbalance in Pitta dosha affecting body functions,Ayurveda,Dosha Imbalance,Pitta Disorders,WHO002,TM2-002,A00-B99
NAM003,Kapha Dosha Imbalance,Imbalance in Kapha dosha affecting body functions,Ayurveda,Dosha Imbalance,Kapha Disorders,WHO003,TM2-003,A00-B99
NAM004,Jwara,Fever with various presentations,Ayurveda,Fever,Acute Fever,WHO004,TM2-004,R50-R69
NAM005,Kasa,Cough with different types,Ayurveda,Respiratory,Cough Disorders,WHO005,TM2-005,R05-R06
NAM006,Shwasa,Breathing difficulties,Ayurveda,Respiratory,Breathing Disorders,WHO006,TM2-006,R06-R07
NAM007,Hridroga,Heart diseases,Ayurveda,Cardiovascular,Heart Disorders,WHO007,TM2-007,I00-I99
NAM008,Mutrakrichra,Difficulty in urination,Ayurveda,Urogenital,Urinary Disorders,WHO008,TM2-008,N30-N39
NAM009,Prameha,Diabetes and related conditions,Ayurveda,Metabolic,Diabetes,WHO009,TM2-009,E10-E14
NAM010,Arsha,Piles and hemorrhoids,Ayurveda,Gastrointestinal,Anal Disorders,WHO010,TM2-010,K60-K64
NAM011,Kushtha,Skin diseases,Ayurveda,Dermatology,Skin Disorders,WHO011,TM2-011,L00-L99
NAM012,Netraroga,Eye diseases,Ayurveda,Ophthalmology,Eye Disorders,WHO012,TM2-012,H00-H59
NAM013,Karnaroga,Ear diseases,Ayurveda,ENT,Ear Disorders,WHO013,TM2-013,H60-H95
NAM014,Nasaroga,Nose diseases,Ayurveda,ENT,Nose Disorders,WHO014,TM2-014,J30-J39
NAM015,Mukharoga,Oral diseases,Ayurveda,Dentistry,Oral Disorders,WHO015,TM2-015,K00-K14
NAM016,Vata Vyadhi,Vata-related diseases,Ayurveda,Dosha Disorders,Vata Diseases,WHO016,TM2-016,G90-G99
NAM017,Pitta Vyadhi,Pitta-related diseases,Ayurveda,Dosha Disorders,Pitta Diseases,WHO017,TM2-017,K20-K31
NAM018,Kapha Vyadhi,Kapha-related diseases,Ayurveda,Dosha Disorders,Kapha Diseases,WHO018,TM2-018,J40-J47
